,Member_number,Date,itemDescription,Transaction_id
2912,1789,01-01-2014,"['hamburger meat', 'candles']",T00000
915,1249,01-01-2014,"['coffee', 'citrus fruit']",T00001
4560,2226,01-01-2014,"['bottled water', 'sausage']",T00002
10971,3942,01-01-2014,"['Instant food products', 'yogurt', 'other vegetables']",T00003
5033,2351,01-01-2014,"['shopping bags', 'cleaner']",T00004
4609,2237,01-01-2014,"['bottled water', 'Instant food products']",T00005
7237,2943,01-01-2014,"['whole milk', 'flower (seeds)']",T00006
11018,3956,01-01-2014,"['waffles', 'chocolate', 'shopping bags', 'yogurt']",T00007
12156,4260,01-01-2014,"['soda', 'brown bread']",T00008
1599,1440,01-01-2014,"['yogurt', 'other vegetables']",T00009
2431,1659,01-01-2014,"['frozen vegetables', 'specialty chocolate']",T00010
10432,3797,01-01-2014,"['whole milk', 'waffles']",T00011
5735,2542,01-01-2014,"['bottled water', 'sliced cheese']",T00012
3427,1922,01-01-2014,"['tropical fruit', 'other vegetables']",T00013
6001,2610,01-01-2014,"['domestic eggs', 'bottled beer', 'hamburger meat']",T00014
6371,2709,01-01-2014,"['yogurt', 'frozen vegetables']",T00015
6436,2727,01-01-2014,"['frozen potato products', 'hamburger meat']",T00016
9985,3681,01-01-2014,"['onions', 'whipped/sour cream', 'dishes']",T00017
7355,2974,01-01-2014,"['berries', 'whipped/sour cream', 'bottled water']",T00018
14773,4942,01-01-2014,"['butter', 'frozen vegetables']",T00019
1387,1381,01-01-2014,"['soda', 'curd']",T00020
855,1235,01-01-2015,"['bottled beer', 'sausage', 'spread cheese', 'sausage']",T00021
8336,3240,01-01-2015,"['whole milk', 'citrus fruit']",T00022
4197,2127,01-01-2015,"['pickled vegetables', 'pork']",T00023
6906,2851,01-01-2015,"['canned beer', 'white bread', 'brown bread', 'whole milk', 'fruit/vegetable juice']",T00024
2952,1798,01-01-2015,"['curd', 'beef', 'pastry']",T00025
12857,4439,01-01-2015,"['tropical fruit', 'butter']",T00026
801,1220,01-01-2015,"['canned beer', 'margarine', 'chocolate']",T00027
13230,4537,01-01-2015,"['ham', 'brown bread']",T00028
